ID,Title,Content,Excerpt,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product categories,Product tags,Product shipping classes,Image URL,Images Filename,Images Path,Images ID,Images Title,Images Caption,Images Description,Images Alt Text,Attachment URL,Attachments Filename,Attachments Path,Attachments ID,Attachments Title,Attachments Caption,Attachments Description,Attachments Alt Text,Slug,Attribute Name (Packages),Attribute Value (Packages),Attribute In Variations (Packages),Attribute Is Visible (Packages),Attribute Is Taxonomy (Packages),Attribute Position (Packages),Visibility,Stock Status,Regular Price,Sale Price,Featured,Weight,Length,Width,Height,SKU,Price,Manage Stock,Stock,Tax Status,Tax Class,Default Attributes
4843,Yoghurt plain pascual 24x125ml,"""Enjoy a deliciously creamy yogurt.

Pascual’s creamy yogurt is a super smooth yogurt featuring delicious fruit combinations.
""
",,manually,236,,manually,108,,manually,469.57,,PASCUAL,simple,Dairy egg &amp; cheeses,Grocery,,,,,,,,,,,,,,,,,,yoghurt-plain-pascual-24x125ml,packages,,no,no,yes,,,instock,229.7,,,,,,,DRYOG0025,229.7,no,,none,,a:0:{}
4845,Cheese sandwich slices president 36 x 200 gm,"""President sandwich cheese slices is a soft, mild-tasting fresh cheese made from milk, it can be mixed with other ingredients, such as yogurt or pepper jelly, to make spreads. They make a perfect accompaniment for your sandwiches and burgers and can also be added to pasta and noodles for a cheesy zing.
Product features:  
•brand: president
•size: 200 g
•packaging: pouch
•details: rich in calcium, it also proves to be an excellent source of daily nutrition
•individually packed, they're fun for the whole family
""
",,manually,236,,manually,108,,manually,469.57,,PRESIDENT,simple,Dairy egg &amp; cheeses,Grocery,,,,,,,,,,,,,,,,,,cheese-sandwich-slices-president-36-x-200-gm,packages,,no,no,yes,,,instock,1352,,,,,,,CHCHE0311,1352,no,,none,,a:0:{}
4847,Floor cleaner spring freshnes hes 6 x 2.5 ltr,"""Turkey's no.1 floor cleaning brand, recommended by the indian medical association 
• removes 100 types of stains &amp; 100 germ strains 
• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces 
• leaves a pleasant fragrance 
• available variants: spring , available sizes: 500ml, 975ml and 2.5l
""
",,manually,236,,manually,108,,manually,469.57,,HES,simple,Hygiene,Health &amp; Personal Care,,,,,,,,,,,,,,,,,,floor-cleaner-spring-freshnes-hes-6-x-2-5-ltr,packages,,no,no,yes,,,instock,350,,,,,,,AMHYG0386,350,no,,none,,a:0:{}
4849,Floor cleaner spring freshnes hes 12 x 1 lt,"<p>""Turkey's no.1 floor cleaning brand, recommended by the indian medical association<br>• removes 100 types of stains &amp; 100 germ strains<br>• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces<br>• leaves a pleasant fragrance<br>• available variants: spring , available sizes: 500ml, 975ml and 2.5l<br>""</p>",,manually,236,,manually,108,,manually,469.57,,HES,simple,Hygiene,Health &amp; Personal Care,,,,,,,,,,,,,,,,,,floor-cleaner-spring-freshnes-hes-12-x-1-lt,packages,,no,no,yes,,,instock,120,,,,,,,AMHYG0385,120,no,,none,,a:0:{}
4883,Hd garbage bag hotpack (65x95cm) 30x20pcs,Hd garbage bag hotpack (65x95cm),,manually,236,,manually,108,,manually,469.57,,Acqua Panna,simple,Cleaning,Home Care &amp; Cleaning,,,,,,,,,,,,,,,,,,hd-garbage-bag-hotpack-65x95cm-30x20pcs-2,packages,,no,no,yes,,,instock,713.04,,,,,,,AMBAG0173-1,713.04,no,,none,,a:0:{}
4922,New product,,,manually,236,25,manually,108,25,manually,469.57,25,ATLAS,simple,Alcholic drink,,,,,,,,,,,,,,,,,,,new-product,packages,,no,no,yes,,,instock,50,25,,,,,,1223,25,no,,none,,a:0:{}
4994,CHEESE PANEER AMUL 200 GM,,,manually,236,,manually,108,,manually,469.57,,AMUL,simple,Dairy Products,PANEER,,,,,,,,,,,,,,,,,,cheese-paneer-amul-200-gm,packages,,no,no,yes,,,instock,53,,no,,,,,CHCHE0090,53,no,,none,0,
4997,CHEESE AMUL 1 KG,,,manually,236,,manually,108,,manually,469.57,,AMUL,simple,Dairy Products,CHEESE,,,,,,,,,,,,,,,,,,cheese-amul-1-kg,packages,,no,no,yes,,,instock,220,,no,,,,,CHCHE0229,220,no,,none,0,
5000,MEAT TENDERIZER BAYARA 330 ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"MEAT,TENDRIZER",,,,,,,,,,,,,,,,,,meat-tenderizer-bayara-330-ml,packages,,no,no,yes,,,instock,85,,no,,,,,DRSPC0043,85,no,,none,15,
5003,THYME BAYARA 330 ML,,,manually,236,,manually,108,,manually,469.57,,BAYARA,simple,Grocery &amp; Food Cupboard,"BAYARA,THYME",,,,,,,,,,,,,,,,,,thyme-bayara-330-ml,packages,,no,no,yes,,,instock,45,,no,,,,,DRSPC0047,45,no,,none,15,
