"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","product_shipping_class","visibility","tax_status","product_type","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured_product","product_attribute_taxonomy","tax_class","file_paths","edit_last","edit_lock","thumbnail_id","manage_stock","stock","stock_status","low_stock_threshold","stock_qty","total_sales","downloadable","virtual","regular_price","sale_price","purchase_note","menu_order","comment_status","weight","length","width","height","sku","upsell_ids","crosssell_ids","grouping_product","sale_price_dates_from","sale_price_dates_to","price","sold_individually","backorders","product_image_gallery","product_url","button_text","featured","downloadable_files","download_limit","download_expiry","download_type","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_wc_pb_bundle_sell_ids","_wc_pb_bundle_sells_title","_wc_pb_bundle_sells_discount","brand","product_category","product_tag","108","1147","1334","1560","236","25","469.57","9.57","disable_add_to_cart","disable_price","manually","onesignal_meta_box_present","onesignal_modify_title_and_content","onesignal_notification_custom_content","onesignal_notification_custom_heading","onesignal_send_notification","price1","price2","rs_page_bg_color","wcfm_policy_product_options"
"CAKE BOARD SQUARE GOLD WITH HANDLE 10"" HOTPACK","5067",,,"2021-03-26 20:06:16","cake-board-square-gold-with-handle-10-hotpack","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","305",,,"0","open",,,,,"AMMSC1452",,,,,,"305","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"MICRO CONTAINER RECTANGLE 4 DIVISION WITH LID HOTPACK 150 PIECE","5069",,,"2021-03-26 20:06:16","micro-container-rectangle-4-division-with-lid-hotpack-150-piece","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","1460",,,"0","open",,,,,"AMMSC1458",,,,,,"1460","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PET ICE CREAM BOWL 10 OZ HOTPACK (1000 PIECE)","5071",,,"2021-03-26 20:06:16","pet-ice-cream-bowl-10-oz-hotpack-1000-piece","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","1635",,,"0","open",,,,,"AMMSC1459",,,,,,"1635","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"WAX PAPER(BAKING) 75 SQFT HOTPACK 12 ROLLS","5073",,,"2021-03-26 20:06:16","wax-paperbaking-75-sqft-hotpack-12-rolls","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","575",,,"0","open",,,,,"AMPAP0158",,,,,,"575","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POPCORN SQUARE 32OZ HOTPACK (1000 PIECE)","5075",,,"2021-03-26 20:06:16","popcorn-square-32oz-hotpack-1000-piece","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","1350",,,"0","open",,,,,"AMPAP0160",,,,,,"1350","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DOME LID WITHOUT HOLE FOR ICE PET BOWL HOTPACK (1000 PIECE)","5077",,,"2021-03-26 20:06:16","dome-lid-without-hole-for-ice-pet-bowl-hotpack-1000-piece","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","820",,,"0","open",,,,,"AMPAP0170",,,,,,"820","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"HOTPACK","Cleaning &amp; Household","PACKING","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"POWDER BAKING KENT 1 KG","5079",,,"2021-03-26 20:06:16","powder-baking-kent-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","50",,,"0","open",,,,,"DRPOW0103",,,,,,"50","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"KENT BORINGER","Grocery &amp; Food Cupboard","BAKING,POWDER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"OIL OLIVE POMACE (KENT)1 LITRE","5081",,,"2021-03-26 20:06:17","oil-olive-pomace-kent1-litre","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","80",,,"0","open",,,,,"DROIL0032",,,,,,"80","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"KENT BORINGER","Grocery &amp; Food Cupboard","OIL,OLIVE","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"COOKING WINE MADEIRA TAYLER 750 ML","5083",,,"2021-03-26 20:06:17","cooking-wine-madeira-tayler-750-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","1966",,,"0","open",,,,,"DRWIN0071",,,,,,"1966","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MADEIRA TAYLER","Alcohol","COOKING,WINE","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PERFUME AFTER DARK (M) MARYAJ 100 ML","5085",,,"2021-03-26 20:06:17","perfume-after-dark-m-maryaj-100-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","180",,,"0","open",,,,,"AMCRE0064",,,,,,"180","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PERFUME MAVEN (F) MARYAJ 100 ML","5087",,,"2021-03-26 20:06:17","perfume-maven-f-maryaj-100-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","232",,,"0","open",,,,,"AMCRE0103",,,,,,"232","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","FEMALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PERFUME EBONY (M) MARYAJ 100 ML","5089",,,"2021-03-26 20:06:17","perfume-ebony-m-maryaj-100-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","125",,,"0","open",,,,,"AMCRE0104",,,,,,"125","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PERFUME NUT (M) MARYAJ 100 ML","5091",,,"2021-03-26 20:06:17","perfume-nut-m-maryaj-100-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","210",,,"0","open",,,,,"AMCRE0163",,,,,,"210","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK UNION (M) MARYAJ (PERFUME + DEO)","5093",,,"2021-03-26 20:06:19","gift-pack-union-m-maryaj-perfume-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"AMCRE0177",,,,,,"240","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK LUV ME (F) MARYAJ (PERFUME + BODY LOTION)","5095",,,"2021-03-26 20:06:19","gift-pack-luv-me-f-maryaj-perfume-body-lotion","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","160",,,"0","open",,,,,"AMCRE0178",,,,,,"160","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","FEMALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PERFUME UNION (M) MARYAJ 100 ML","5097",,,"2021-03-26 20:06:19","perfume-union-m-maryaj-100-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","175",,,"0","open",,,,,"AMCRE0180",,,,,,"175","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"PERFUME ROBUST SPORTY (M) MARYAJ 100 ML","5099",,,"2021-03-26 20:06:19","perfume-robust-sporty-m-maryaj-100-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","135",,,"0","open",,,,,"AMCRE0181",,,,,,"135","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK VIVECA (F) MARYAJ(PERFUME + BODY LOTION)","5101",,,"2021-03-26 20:06:19","gift-pack-viveca-f-maryajperfume-body-lotion","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","260",,,"0","open",,,,,"AMCRE0193",,,,,,"260","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","FEMALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK EBONY (M) MARYAJ(PERFUME + DEO)","5103",,,"2021-03-26 20:06:19","gift-pack-ebony-m-maryajperfume-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","220",,,"0","open",,,,,"AMCRE0194",,,,,,"220","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 1(M) MARYAJ 150 ML","5105",,,"2021-03-26 20:06:20","deo-huddle-1m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0211",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 2(M) MARYAJ 150 ML","5107",,,"2021-03-26 20:06:20","deo-huddle-2m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0212",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 3(M) MARYAJ 150 ML","5109",,,"2021-03-26 20:06:20","deo-huddle-3m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0213",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 4(M) MARYAJ 150 ML","5111",,,"2021-03-26 20:06:20","deo-huddle-4m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0214",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 5(M) MARYAJ 150 ML","5113",,,"2021-03-26 20:06:20","deo-huddle-5m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0215",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 6(M) MARYAJ 150 ML","5115",,,"2021-03-26 20:06:20","deo-huddle-6m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0216",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 20(M) MARYAJ 150 ML","5117",,,"2021-03-26 20:06:20","deo-huddle-20m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0217",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 21(M) MARYAJ 150 ML","5119",,,"2021-03-26 20:06:20","deo-huddle-21m-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0218",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,MALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 7(F) MARYAJ 150 ML","5121",,,"2021-03-26 20:06:20","deo-huddle-7f-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","50",,,"0","open",,,,,"AMCRE0219",,,,,,"50","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 10(F) MARYAJ 150 ML","5123",,,"2021-03-26 20:06:21","deo-huddle-10f-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0222",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 11(F) MARYAJ 150 ML","5125",,,"2021-03-26 20:06:21","deo-huddle-11f-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0223",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 12(F) MARYAJ 150 ML","5127",,,"2021-03-26 20:06:21","deo-huddle-12f-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0224",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"DEO HUDDLE 13(F) MARYAJ 150 ML","5129",,,"2021-03-26 20:06:21","deo-huddle-13f-maryaj-150-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"AMCRE0225",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK AFTER DARK (M) MARYAJ (EDP & DEO)","5131",,,"2021-03-26 20:06:21","gift-pack-after-dark-m-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","220",,,"0","open",,,,,"AMCRE0380",,,,,,"220","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK REUNION (M) MARYAJ (EDP & DEO)","5133",,,"2021-03-26 20:06:23","gift-pack-reunion-m-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","200",,,"0","open",,,,,"AMCRE0384",,,,,,"200","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","MALE,PERFUME,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK M (F) MARYAJ (EDP & DEO)","5135",,,"2021-03-26 20:06:23","gift-pack-m-f-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","180",,,"0","open",,,,,"AMCRE0385",,,,,,"180","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK ELEMENTS(F) MARYAJ (EDP & DEO)","5137",,,"2021-03-26 20:06:23","gift-pack-elementsf-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"AMCRE0386",,,,,,"240","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK MAVEN(F) MARYAJ (EDP & DEO)","5139",,,"2021-03-26 20:06:23","gift-pack-mavenf-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","240",,,"0","open",,,,,"AMCRE0387",,,,,,"240","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK RAMONA(F) MARYAJ (EDP & DEO)","5141",,,"2021-03-26 20:06:24","gift-pack-ramonaf-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","180",,,"0","open",,,,,"AMCRE0388",,,,,,"180","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK M WHITE FEMALE MARYAJ (EDP & DEO)","5143",,,"2021-03-26 20:06:24","gift-pack-m-white-female-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","180",,,"0","open",,,,,"AMCRE0389",,,,,,"180","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"GIFT PACK TRIPLE TREAT(F) MARYAJ (EDP & DEO)","5145",,,"2021-03-26 20:06:24","gift-pack-triple-treatf-maryaj-edp-deo","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","300",,,"0","open",,,,,"AMCRE0390",,,,,,"300","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MARYAJ","Hygiene","DEODORANT,FEMALE,SPRAY","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"KASTURI METHI MDH 1 KG","5146",,,"2021-03-26 20:06:24","kasturi-methi-mdh-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","490",,,"0","open",,,,,"DRMTH0003",,,,,,"490","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MDH","Grocery &amp; Food Cupboard","KASTURI,METHI","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"POWDER CHILLI MDH 1 KG","5148",,,"2021-03-26 20:06:24","powder-chilli-mdh-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","225",,,"0","open",,,,,"DRPOW0335",,,,,,"225","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MDH","Grocery &amp; Food Cupboard","CHILLI,POWDER","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"POWDER CHILLI MDH 200 GM","5150",,,"2021-03-26 20:06:24","powder-chilli-mdh-200-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","26",,,"0","open",,,,,"DRPOW0338",,,,,,"26","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MDH","Grocery &amp; Food Cupboard","CHILLI,POWDER","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"SAUCE CHILLI MINNIES 250 X 7 GM","5152",,,"2021-03-26 20:06:24","sauce-chilli-minnies-250-x-7-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","112.5",,,"0","open",,,,,"DRSAU0396",,,,,,"112.5","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"MINNIES","Grocery &amp; Food Cupboard","CHILLI,SAUCE","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"CHEESE GRANA PADANO DOP GALBANI (1 KG - 2 KG)","5154",,,"2021-03-26 20:06:24","cheese-grana-padano-dop-galbani-1-kg-2-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","495",,,"0","open",,,,,"CHCHE0366",,,,,,"495","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"PRESIDENT","Dairy Products","CHEESE,PROCESSED,SPREAD","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"BUTTER UNSALTED PRESIDENT 200 GM","5157",,,"2021-03-26 20:06:24","butter-unsalted-president-200-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","30",,,"0","open",,,,,"CHBUT0026",,,,,,"30","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"PRESIDENT","Dairy Products","BUTTER,UNSALTED","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"BUTTER PORTION UNSALTED PRESIDENT 8 GM","5159",,,"2021-03-26 20:06:24","butter-portion-unsalted-president-8-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","40",,,"0","open",,,,,"CHBUT0084",,,,,,"40","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"PRESIDENT","Frozen Foods","BUTTER,PORTION","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"BAGUETTE FRENCH 30 X 290 GM","5161",,,"2021-03-26 20:06:25","baguette-french-30-x-290-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","495",,,"0","open",,,,,"FZBRE0061",,,,,,"495","no","no",,,,"no",",","-1","-1",,,,,,,,,,,"PROBAKE","Bakery","BREAD,PRODUCTS","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"ICE CREAM CONE SANISSIMO 168 PCS","5163",,,"2021-03-26 20:06:25","ice-cream-cone-sanissimo-168-pcs","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","185",,,"0","open",,,,,"DRBIS0406",,,,,,"185","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SANISSIMO","Chocolate &amp; Confectionery","COOKIES","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"RED KIDNEY BEANS SUPERCHEF 500 GM","5166",,,"2021-03-26 20:06:25","red-kidney-beans-superchef-500-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","45",,,"0","open",,,,,"DRBEN0063",,,,,,"45","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","KIDNEY,RED","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"SEMOLINA SUPERCHEF 500 GM","5168",,,"2021-03-26 20:06:25","semolina-superchef-500-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","25",,,"0","open",,,,,"DRCER0258",,,,,,"25","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","SEMOLINA","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"TAMARIND SUPERCHEF 500 GM","5170",,,"2021-03-26 20:06:25","tamarind-superchef-500-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","70",,,"0","open",,,,,"DRFRU0045",,,,,,"70","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","TAMARIND","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"FLOUR BESAN SUPERCHEF 1 KG","5172",,,"2021-03-26 20:06:25","flour-besan-superchef-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","55",,,"0","open",,,,,"DRFLO0036",,,,,,"55","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","BESAN,FLOUR","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"ALMOND FLAKES SUPERCHEF 1 KG","5175",,,"2021-03-26 20:06:27","almond-flakes-superchef-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","386",,,"0","open",,,,,"DRALM0001",,,,,,"386","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","ALMOND","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"ALMOND POWDER SUPERCHEF 1 KG","5178",,,"2021-03-26 20:06:27","almond-powder-superchef-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","325",,,"0","open",,,,,"DRALM0002",,,,,,"325","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","ALMOND","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"ALMOND WHOLE SUPERCHEF 1 KG","5180",,,"2021-03-26 20:06:27","almond-whole-superchef-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","350",,,"0","open",,,,,"DRALM0003",,,,,,"350","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"SUPERCHEF","Grocery &amp; Food Cupboard","ALMOND","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
