"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","product_shipping_class","visibility","tax_status","product_type","product_attribute_name","product_attribute_value","product_attribute_visible","product_attribute_variation","product_attribute_position","featured_product","product_attribute_taxonomy","tax_class","file_paths","edit_last","edit_lock","thumbnail_id","manage_stock","stock","stock_status","low_stock_threshold","stock_qty","total_sales","downloadable","virtual","regular_price","sale_price","purchase_note","menu_order","comment_status","weight","length","width","height","sku","upsell_ids","crosssell_ids","grouping_product","sale_price_dates_from","sale_price_dates_to","price","sold_individually","backorders","product_image_gallery","product_url","button_text","featured","downloadable_files","download_limit","download_expiry","download_type","_subscription_period","_subscription_period_interval","_subscription_length","_subscription_trial_period","_subscription_trial_length","_subscription_price","_wc_pb_bundle_sell_ids","_wc_pb_bundle_sells_title","_wc_pb_bundle_sells_discount","brand","product_category","product_tag","108","1147","1334","1560","236","25","469.57","9.57","disable_add_to_cart","disable_price","manually","onesignal_meta_box_present","onesignal_modify_title_and_content","onesignal_notification_custom_content","onesignal_notification_custom_heading","onesignal_send_notification","price1","price2","rs_page_bg_color","wcfm_policy_product_options"
"Antiseptic liquid savlon 24x500ml","4841","""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place""
",,"2021-03-26 20:06:08","antiseptic-liquid-savlon-24x500ml","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","1785",,,"0","open",,,,,"AMHYG0418",,,,,,"1785","no","no",,,,,,"-1","-1",,,,,,,,,,,"SAVLON","Savlon","Health &amp; Personal Care","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"Yoghurt plain pascual 24x125ml","4843","""Enjoy a deliciously creamy yogurt.

Pascual’s creamy yogurt is a super smooth yogurt featuring delicious fruit combinations.
""
",,"2021-03-26 20:06:08","yoghurt-plain-pascual-24x125ml","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"0","no","no","229.7",,,"0","open",,,,,"DRYOG0025",,,,,,"229.7","no","no",,,,,,"-1","-1",,,,,,,,,,,"PASCUAL","Dairy egg &amp; cheeses","Grocery","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"Cheese sandwich slices president 36 x 200 gm","4845","""President sandwich cheese slices is a soft, mild-tasting fresh cheese made from milk, it can be mixed with other ingredients, such as yogurt or pepper jelly, to make spreads. They make a perfect accompaniment for your sandwiches and burgers and can also be added to pasta and noodles for a cheesy zing.
Product features:  
•brand: president
•size: 200 g
•packaging: pouch
•details: rich in calcium, it also proves to be an excellent source of daily nutrition
•individually packed, they're fun for the whole family
""
",,"2021-03-26 20:06:08","cheese-sandwich-slices-president-36-x-200-gm","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"1","no","no","1352",,,"0","open",,,,,"CHCHE0311",,,,,,"1352","no","no",,,,,,"-1","-1",,,,,,,,,,,"PRESIDENT","Dairy egg &amp; cheeses","Grocery","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"Floor cleaner spring freshnes hes 6 x 2.5 ltr","4847","""Turkey's no.1 floor cleaning brand, recommended by the indian medical association 
• removes 100 types of stains &amp; 100 germ strains 
• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces 
• leaves a pleasant fragrance 
• available variants: spring , available sizes: 500ml, 975ml and 2.5l
""
",,"2021-03-26 20:06:08","floor-cleaner-spring-freshnes-hes-6-x-2-5-ltr","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"1","no","no","350",,,"0","open",,,,,"AMHYG0386",,,,,,"350","no","no",,,,,,"-1","-1",,,,,,,,,,,"HES","Hygiene","Health &amp; Personal Care","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"Floor cleaner spring freshnes hes 12 x 1 lt","4849","<p>""Turkey's no.1 floor cleaning brand, recommended by the indian medical association<br>• removes 100 types of stains &amp; 100 germ strains<br>• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces<br>• leaves a pleasant fragrance<br>• available variants: spring , available sizes: 500ml, 975ml and 2.5l<br>""</p>",,"2021-03-26 20:06:08","floor-cleaner-spring-freshnes-hes-12-x-1-lt","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"8","no","no","120",,,"0","open",,,,,"AMHYG0385",,,,,,"120","no","no",,,,,,"-1","-1",,,,,,,,,,,"HES","Hygiene","Health &amp; Personal Care","108",,,,"236",,"469.57",,"no","no","manually","1",,,,,,"100",,"{""0"":"""",""shipping_policy"":""<p>here comes shipping Policy</p>"",""refund_policy"":""<p>here comes refund Policy</p>"",""cancellation_policy"":""<p>here comes <strong>Cancellation/Return/Exchange Policy</strong></p>"",""policy_tab_title"":""Policy""}"
"Hd garbage bag hotpack (65x95cm) 30x20pcs","4883","Hd garbage bag hotpack (65x95cm)",,"2021-03-26 20:06:08","hd-garbage-bag-hotpack-65x95cm-30x20pcs-2","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"2","no","no","713.04",,,"0","open",,,,,"AMBAG0173-1",,,,,,"713.04","no","no",,,,,,"-1","-1",,,,,,,,,,,"Acqua Panna","Cleaning","Home Care &amp; Cleaning","108",,,,"236",,"469.57",,,,"manually","1",,,,,,,,
"New product","4922",,,"2021-03-26 20:06:08","new-product","shopewdc","publish",,,"1","none","1",,,,,,,,,,,,,"no",,"instock",,,"3","no","no","50","25",,"0","open",,,,,"1223",,,,,,"25","no","no",,,,,,"-1","-1",,,,,,,,,,,"ATLAS","Alcholic drink",,"108",,,,"236","25","469.57",,"no","no","manually",,,,,,,,,"{""0"":"""",""shipping_policy"":""<p><br></p>"",""refund_policy"":""<p><br></p>"",""cancellation_policy"":""<p><br></p>""}"
"CHEESE PANEER AMUL 200 GM","4994",,,"2021-03-26 20:06:09","cheese-paneer-amul-200-gm","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","53",,,"0","open",,,,,"CHCHE0090",,,,,,"53","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"AMUL","Dairy Products","PANEER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"CHEESE AMUL 1 KG","4997",,,"2021-03-26 20:06:09","cheese-amul-1-kg","shopewdc","publish",,,"1","none","1",,,,,,,,"0",,,,,"no",,"instock",,,"0","no","no","220",,,"0","open",,,,,"CHCHE0229",,,,,,"220","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"AMUL","Dairy Products","CHEESE","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
"MEAT TENDERIZER BAYARA 330 ML","5000",,,"2021-03-26 20:06:09","meat-tenderizer-bayara-330-ml","shopewdc","publish",,,"1","none","1",,,,,,,,"15",,,,,"no",,"instock",,,"0","no","no","85",,,"0","open",,,,,"DRSPC0043",,,,,,"85","no","no",,,,"no",,"-1","-1",,,,,,,,,,,"BAYARA","Grocery &amp; Food Cupboard","MEAT,TENDRIZER","108",,,,"236",,"469.57",,,,"manually",,,,,,,,,
