ID,Title,Content,Excerpt,Date,Post Type,Permalink,_la-digue_price_method,_la-digue_regular_price,_la-digue_sale_price,_mahe_price_method,_mahe_regular_price,_mahe_sale_price,_praslin_price_method,_praslin_regular_price,_praslin_sale_price,Brands,Product Type,Product Visibility,Product categories,Product tags,Status,Attribute Name (color),Attribute Value (color),Attribute In Variations (color),Attribute Is Visible (color),Attribute Is Taxonomy (color),Attribute Position (color),Stock Status,Regular Price,Sale Price,SKU,Manage Stock,Stock,Backorders,Tax Status,Tax Class
4839,Antiseptic liquid savlon 24x200ml,"""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place
""
","Savlon liquid antiseptic 200ml 24pack
",12-Feb-21,product,https://shop.ewdc.in/product/antiseptic-liquid-savlon-24x200ml/,manual,875,,manual,875,,manual,875,,SAVLON,simple,visible,Hygiene,Health &amp; Personal Care,publish,color,,no,no,no,,instock,875,,AMHYG0419,yes,379,no,taxable,standard
4841,Antiseptic liquid savlon 24x500ml,"""Give yourself and your family complete protection with the savlon antiseptic liquid that is an all-round wound care liquid trusted by doctors. Its special formula is effective in cleaning and disinfecting wounds and has healing properties. Bring home this antiseptic liquid that provides effective protection against germs and is the most trusted disinfection and wound healing antiseptic liquid used at home, hospitals, etc. 

Key benefits/uses:
An effective disinfectant solution that kills 99.9% of germs.
Safe wound care antiseptic liquid that heals gently.
Used at home and hospitals and is trusted by doctors.

Direction for use/dosage:
Has a strong formula; dilute before using.
Read the label for usage instructions.

Safety information:
For external use only; don’t swallow the liquid.
Check for an expiration date before use.
Keep it out of reach of children.
Store it in a cool and dry place""
","Savlon liquid antiseptic 500ml 24pack
",12-Feb-21,product,https://shop.ewdc.in/product/antiseptic-liquid-savlon-24x500ml/,manual,1785,,manual,1785,,manual,1785,,SAVLON,simple,visible,Savlon,Health &amp; Personal Care,publish,color,,no,no,no,,instock,1785,,AMHYG0418,yes,88,no,taxable,standard
4843,Yoghurt plain pascual 24x125ml,"""Enjoy a deliciously creamy yogurt.

Pascual’s creamy yogurt is a super smooth yogurt featuring delicious fruit combinations.
""
","Yoghurt plain pascual 125ml 24pack
",12-Feb-21,product,https://shop.ewdc.in/product/yoghurt-plain-pascual-24x125ml/,manual,229.7,,manual,229.7,,manual,229.7,,PASCUAL,simple,visible,Dairy egg &amp; cheeses,Grocery,publish,color,,no,no,no,,instock,229.7,,DRYOG0025,yes,66,no,taxable,standard
4845,Cheese sandwich slices president 36 x 200 gm,"""President sandwich cheese slices is a soft, mild-tasting fresh cheese made from milk, it can be mixed with other ingredients, such as yogurt or pepper jelly, to make spreads. They make a perfect accompaniment for your sandwiches and burgers and can also be added to pasta and noodles for a cheesy zing.
Product features:  
•brand: president
•size: 200 g
•packaging: pouch
•details: rich in calcium, it also proves to be an excellent source of daily nutrition
•individually packed, they're fun for the whole family
""
","Cheese sandwich slices 200 gm 36 pack
",12-Feb-21,product,https://shop.ewdc.in/product/cheese-sandwich-slices-president-36-x-200-gm/,manual,1352,,manual,1352,,manual,1352,,PRESIDENT,simple,visible,Dairy egg &amp; cheeses,Grocery,publish,color,,no,no,no,,instock,1352,,CHCHE0311,yes,283,no,taxable,standard
4847,Floor cleaner spring freshnes hes 6 x 2.5 ltr,"""Turkey's no.1 floor cleaning brand, recommended by the indian medical association 
• removes 100 types of stains & 100 germ strains 
• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces 
• leaves a pleasant fragrance 
• available variants: spring , available sizes: 500ml, 975ml and 2.5l
""
","Floor cleaner spring freshnes 2.5 ltr 6 pack
",12-Feb-21,product,https://shop.ewdc.in/product/floor-cleaner-spring-freshnes-hes-6-x-2-5-ltr/,manual,350,,manual,350,,manual,350,,HES,simple,visible,Hygiene,Health &amp; Personal Care,publish,color,,no,no,no,,instock,350,,AMHYG0386,yes,31,no,taxable,standard
4849,Floor cleaner spring freshnes hes 12 x 1 lt,"<p>""Turkey's no.1 floor cleaning brand, recommended by the indian medical association<br>• removes 100 types of stains & 100 germ strains<br>• use directly or diluted for regular use, suitable for cleaning all kinds of surfaces<br>• leaves a pleasant fragrance<br>• available variants: spring , available sizes: 500ml, 975ml and 2.5l<br>""</p>",<p>Floor cleaner spring freshnes 1 ltr 12 pack</p>,12-Feb-21,product,https://shop.ewdc.in/product/floor-cleaner-spring-freshnes-hes-12-x-1-lt/,manual,600,,manual,350,,manual,500,,HES,simple,visible,Hygiene,Health &amp; Personal Care,publish,color,,no,no,no,,outofstock,120,,AMHYG0385,yes,,no,none,
4883,Hd garbage bag hotpack (65x95cm) 30x20pcs,Hd garbage bag hotpack (65x95cm),"? great for all of your waste management needs, this trash bag is the perfect solution for high traffic areas, like outdoor events where customers are on-the-go. 
? provides large capacity and maximum resistance to punctures and tears 
? made with strong flex material designed to resist rips and tears even with maximum loads",13-Feb-21,product,https://shop.ewdc.in/product/hd-garbage-bag-hotpack-65x95cm-30x20pcs-2/,manual,713.04,,manual,713.04,,manual,713.04,,Acqua Panna,simple,visible,Cleaning,Home Care &amp; Cleaning,publish,color,,no,no,no,,instock,713.04,,AMBAG0173-1,yes,38,no,taxable,standard
4885,Dates premium mubarak 600 gm,,Package: Single,9-Mar-21,product,https://shop.ewdc.in/?post_type=product&p=4885,manual,45,,manual,45,,manual,45,,,variable,visible,Snacks,Groceries,trash,color,,no,no,no,,instock,450,300,9b8c456fbfbd,no,,no,none,
4922,New product,,,17-Feb-21,product,https://shop.ewdc.in/product/new-product/,manual,50,25,manual,50,25,manual,,,ATLAS,simple,visible,Alcholic drink,,publish,color,,no,no,no,,instock,50,25,1223,yes,47,no,taxable,standard
4968,Dates premium mubarak 600 gm,,Weight: 200,11-Mar-21,product_variation,https://shop.ewdc.in/product/dates-premium-mubarak-600-gm/?attribute_weight=200,manual,99,98,manual,15,2,manual,5,4,MUBARAK,variation,visible,Snacks,Groceries,publish,color,,no,no,no,,instock,99,98,,no,,no,taxable,standard
4969,Dates premium mubarak 600 gm,,Weight: 500,11-Mar-21,product_variation,https://shop.ewdc.in/product/dates-premium-mubarak-600-gm/?attribute_weight=500,manual,66,65,manual,66,65,manual,100,50,MUBARAK,variation,visible,Snacks,Groceries,publish,color,,no,no,no,,instock,66,65,,no,,no,taxable,standard
4979,Buy Credit Points,,,15-Mar-21,product,https://shop.ewdc.in/product/buy-credit-points/,manual,,,manual,,,manual,,,,variable,hidden,Credit,,publish,color,,no,no,no,,instock,1,,,no,,no,none,zero-rate
4980,Buy Credit Points,,Points: 100,15-Mar-21,product_variation,https://shop.ewdc.in/product/buy-credit-points/?attribute_points=100,manual,100,,manual,100,,manual,100,,,variation,hidden,Credit,,publish,color,,no,no,no,,instock,100,,,no,,no,taxable,standard
4981,Buy Credit Points,,Points: 200,15-Mar-21,product_variation,https://shop.ewdc.in/product/buy-credit-points/?attribute_points=200,manual,200,,manual,200,,manual,200,,,variation,hidden,Credit,,publish,color,,no,no,no,,instock,200,,,no,,no,taxable,standard
4982,Buy Credit Points,,Points: 300,15-Mar-21,product_variation,https://shop.ewdc.in/product/buy-credit-points/?attribute_points=300,manual,300,,manual,300,,manual,300,,,variation,hidden,Credit,,publish,color,,no,no,no,,instock,300,,,no,,no,taxable,standard
4983,Buy Credit Points,,Points: 500,15-Mar-21,product_variation,https://shop.ewdc.in/product/buy-credit-points/?attribute_points=500,manual,500,,manual,500,,manual,500,,,variation,hidden,Credit,,publish,color,,no,no,no,,instock,500,,,no,,no,taxable,standard
4989,new variBle produc,,,15-Mar-21,product,https://shop.ewdc.in/product/new-varible-produc/,manual,,,manual,,28,manual,,,,variable,visible,Fresh Produce,FRESH FRUITS,publish,color,,no,no,no,,outofstock,,,NVP,yes,0,no,taxable,standard
4990,new variBle produc,,Packages: Carton,15-Mar-21,product_variation,https://shop.ewdc.in/product/new-varible-produc/?attribute_pa_packages=carton,manual,1,1,manual,50,,manual,,,,variation,visible,Fresh Produce,FRESH FRUITS,publish,color,,no,no,no,,outofstock,50,,NVP1,yes,0,no,taxable,standard
4991,new variBle produc,,Packages: Single,15-Mar-21,product_variation,https://shop.ewdc.in/product/new-varible-produc/?attribute_pa_packages=single,manual,1,1,manual,60,,manual,,,,variation,visible,Fresh Produce,FRESH FRUITS,publish,color,,no,no,no,,outofstock,60,,NVP2,yes,0,no,taxable,standard
4994,CHEESE PANEER AMUL 200 GM,,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/cheese-paneer-amul-200-gm/,manual,54,,manual,53,,manual,54,,AMUL,simple,visible,Dairy Products,PANEER,publish,color,,no,no,no,,instock,53,,CHCHE0090,yes,472.2,no,taxable,standard
4997,CHEESE AMUL 1 KG,,1 X 1 PACKET,31-Dec-69,product,https://shop.ewdc.in/product/cheese-amul-1-kg/,manual,224,,manual,220,,manual,224,,AMUL,simple,visible,Dairy Products,CHEESE,publish,color,,no,no,no,,outofstock,220,,CHCHE0229,yes,0,no,taxable,standard
5000,MEAT TENDERIZER BAYARA 330 ML,,1 X 1 PIECE,31-Dec-69,product,https://shop.ewdc.in/product/meat-tenderizer-bayara-330-ml/,manual,86,,manual,85,,manual,86,,BAYARA,simple,visible,Grocery &amp; Food Cupboard,"MEAT, TENDRIZER",publish,color,,no,no,no,,instock,85,,DRSPC0043,yes,38.6,no,taxable,standard
